First_junc_name,err_dist,Second_junction,,,
KSPR,,,,,
ITA,,,,,
VRM,,,,,
MPR,,,,,
VS,,,,,
 , , ,,,
VS,0.912203035,BRGY,,,
VS,,,,,
BRC,,,,,
BRGY,,,,,
 , , ,,,
BRGY,0.42017192,ANND,,,
BRGY,,,,,
BDA,,,,,
BJW,,,,,
KRCA,,,,,
RNO,,,,,
NDR,,,,,
VDA,,,,,
ADD,,,,,
VXD,,,,,
ANND,,,,,
 , , ,,,
ANND,0,XX-ANNC,,,
ANND,,,,,
XX-ANNC,,,,,
 , , ,,,
XX-ANNC,0.000690548,ND,,,
XX-ANNC,,,,,
KBRV,,,,,
UTD,,,,,
ND,,,,,
 , , ,,,
ND,1.999442825,SBTA,,,
ND,,,,,
GTE,,,,,
MHD,,,,,
NEP,,,,,
KANJ,,,,,
BJD,,,,,
GER,,,,,
VY,,,,,
VTA,,,,,
MAN,,,,,
KKEC,,,,,
KKF,,,,,
ADI,,,,,
SBTA,,,,,
 , , ,,,
SBTA,1.226273065,SBTF,,,
SBTA,,,,,
SBT,,,,,
SMYD,,,,,
SBTF,,,,,
 , , ,,,
SBTF,0.001872063,XX-CLDO,,,
SBTF,,,,,
CLDY,,,,,
XX-CLDO,,,,,
 , , ,,,
XX-CLDO,5.147398649,VG,,,
XX-CLDO,,,,,
ABD,,,,,
GGM,,,,,
SAU,,,,,
WSE,,,,,
CE,,,,,
VCN,,,,,
JKA,,,,,
XSK,,,,,
VG,,,,,
 , , ,,,
VG,0,VGDC,,,
VG,,,,,
VGDC,,,,,
 , , ,,,
VGDC,0.659396744,SNEC,,,
VGDC,,,,,
VNRD,,,,,
KHRS,,,,,
SR,,,,,
BMM,,,,,
LPR,,,,,
KXZ,,,,,
LTR,,,,,
BRGP,,,,,
BLRD,,,,,
SNEC,,,,,
 , , ,,,
SNEC,0,SUNN,,,
SNEC,,,,,
SUNN,,,,,
 , , ,,,
SUNN,4.88491026,WKR,,,
SUNN,,,,,
SUNR,,,,,
CJR,,,,,
DXR,,,,,
MOL,,,,,
RA,,,,,
VD,,,,,
THAN,,,,,
LMC,,,,,
DL,,,,,
LXR,,,,,
WKR,,,,,
 , , ,,,
WKR,0,XX-WKRB,,,
WKR,,,,,
XX-WKRB,,,,,
 , , ,,,
XX-WKRB,1.357427482,RJT,,,
XX-WKRB,,,,,
WKRC,,,,,
AXA,,,,,
SDD,,,,,
KNKT,,,,,
KHC,,,,,
BLWR,,,,,
RJT,,,,,
 , , ,,,
VVH,0.025391368,CLA,,,
VVH,,,,,
CLAS,,,,,
CLA,,,,,
 , , ,,,
CLA,1.533994712,SNRD,,,
CLA,,,,,
SIN,,,,,
MTN,,,,,
DR,,,,,
PR,,,,,
PRLW,,,,,
CRD,,,,,
CHG,,,,,
BY,,,,,
MZNC,,,,,
SNRD,,,,,
 , , ,,,
SNRD,0.038058102,CSMT,,,
SNRD,,,,,
XX-WB,,,,,
MSD,,,,,
CSMT,,,,,
 , , ,,,
BPQ,3.424989036,XX-MJRO,,,
BPQ,,,,,
GNVR,,,,,
BUPH,,,,,
CD,,,,,
VVKN,,,,,
CPW,,,,,
TAE,,,,,
BUX,,,,,
XX-MJRO,,,,,
 , , ,,,
XX-MJRO,0,MJRI,,,
XX-MJRO,,,,,
MJRI,,,,,
 , , ,,,
MJRI,3.979803477,CHJC,,,
MJRI,,,,,
WRR,,,,,
CKNI,,,,,
NGI,,,,,
YNA,,,,,
HGT,,,,,
WG,,,,,
SNN,,,,,
BPK,,,,,
CHJC,,,,,
 , , ,,,
CHJC,0,WR,,,
CHJC,,,,,
WR,,,,,
 , , ,,,
XX-UDNC,0,XX-UDNB,,,
XX-UDNC,,,,,
XX-UDNB,,,,,
 , , ,,,
XX-UDNB,0.204373699,BIM,,,
XX-UDNB,,,,,
BHET,,,,,
SCH,,,,,
MRL,,,,,
NVS,,,,,
GNST,,,,,
HXR,,,,,
VDH,,,,,
ACL,,,,,
AML,,,,,
BIM,,,,,
 , , ,,,
BIM,7.085997001,VTN,,,
BIM,,,,,
JRS,,,,,
DGI,,,,,
BL,,,,,
ATUL,,,,,
PAD,,,,,
UVD,,,,,
BAGD,,,,,
VAPI,,,,,
KEB,,,,,
BLD,,,,,
SJN,,,,,
UBR,,,,,
BRRD,,,,,
GVD,,,,,
DRD,,,,,
VGN,,,,,
BOR,,,,,
UOI,,,,,
PLG,,,,,
KLV,,,,,
SAH,,,,,
VTN,,,,,
 , , ,,,
VTN,1.177736667,VCSV,,,
VTN,,,,,
VR,,,,,
VCSV,,,,,
 , , ,,,
VCSV,0.2154252,BSR,,,
VCSV,,,,,
NSP,,,,,
BSR,,,,,
 , , ,,,
BSR,1.900333645,KOPR,,,
BSR,,,,,
JCNR,,,,,
KARD,,,,,
KHBV,,,,,
BIRD,,,,,
UBCN,,,,,
KOPR,,,,,
 , , ,,,
KOPR,0,DCTL,,,
KOPR,,,,,
DCTL,,,,,
 , , ,,,
DCTL,0,DI,,,
DCTL,,,,,
DI,,,,,
 , , ,,,
KYN,4.938486871,KJT,,,
KYN,,,,,
VLDI,,,,,
