First_junc_name,Second_junc_name,err_dist
LPNR,3.145823541940993,PTNR,
PTNR,0,DBSC,
DBSC,0,ANDI,
JRC,0,SCPD,
SCPD,1.7458587948765782,PTKC,
PTKC,0,BHRL,
BDC,0.9631128843748602,NH,
NH,2.02820663461615,DDJ,
GZB,0.813668583906031,MTC,
MTC,5.773480001912909,TPZ,
TPZ,0,SRE,
SRE,1.1999603802161123,UMB,
BHRL,10.882225954682713,SVDK,
BUW,1.2796575903151544,BBK,
BBK,0.0108995472158845,ML,
ML,0,LBH,
NAD,3.677882753871514,RMA,
RMA,3.1079749130629177,KOTA,
KOTA,0.42561082722515975,GQL,
GQL,5.188177703767009,SWM,
SWM,5.053259698603539,BXN,
BXN,2.314601768745205,BTE,
BTE,0.3051758887382011,MTJ,
MWC,0,NZM,
LRJ,0,LRJC,
LRJC,1.8353381448776307,HNC,
HNC,0.6959643121405965,SRE,
UMBY,1.9607418890842205,CDG,
CDG,4.198223435837088,JNCV,
JNCV,0,MRND,
SBB,0.010999723120685761,DSA,
DSA,0,DLI,
DLI,0,XX-DKZO,
HMH,10.655968318742453,SGNR,
SGNR,23.194856539323396,SRPR,
SRPR,1.6464058546628295,SOG,
SDLP,0,SURP,
SURP,8.14407246835862,HMH,
BTI,1.757161987037131,HMH,
HMH,1.9422060101607421,SOG,
SRPR,4.94883764488067,APH,
PBC,3.4218278987351196,MKN,
MTD,0,XX-MTDC,
XX-MTDC,0.35121007270836857,DNA,
DNA,5.6878467640441865,RTGH,
RTGH,1.4712879241816939,CUR,
RPJ,7.862451086539132,DUI,
DUI,2.7456131913144692,BTI,
GKP,2.387729272195166,ANDN,
CPR,3.4724992765757547,PEP,
PEP,0.7318356603849578,IAA,
IAA,0,MAU,
MAU,3.369561327814459,SHG,
SHG,4.76182910561084,AY,
AY,0.009704649533634854,FD,
FD,4.151821143359816,BBK,
JP,10.962308581621327,SWM,
BXN,3.0890352871078623,YY-IDHW,
DAL,0.08691861336462718,ML,
MKG,0,LNWT,
HJP,1.8813265730418438,MFP,
BC,0.5546045751272316,BPR,
BPR,1.31217455627471,LKU,
SBDP,0,UMNR,
MNE,2.2089927132512717,SHC,
JMP,0,DLTR,
BIR,2.5669639139298037,TLV,
DBRG,0,DMGN,
DMGN,2.7782304329040453,BBNB,
BBNB,3.7023732442390207,HMY,
HMY,13.62152692569984,BVU,
BVU,0,RPAN,
RPAN,0.6120775837828769,DKGN,
CGL,2.5164583309046082,VM,
VM,4.626502898432519,VRI,
VRI,4.329296826276257,GOC,
GOC,0,TPJ,
BBQ,0,VPY,
VPY,0.15071566931448732,PAB,
PAB,0.6002352173405786,AJJ,
AJJ,0,MLPM,
SA,1.4504610145584478,ED,
ED,2.264749921669753,IGU,
IGU,1.0478343533019068,CBF,
CBF,0.25319844213612036,PTJ,
SRRA,0,SRRB,
SRRB,1.1248758522743287,PNQ,
PNQ,6.687947685561853,ERSC,
ERSC,0,ERS,
KIS,0,SQQ,
SQQ,0.393077307868369,MZY,
MZY,0,RQP,
